86 file(s) detected.
Parsing file_45/86: inputs\001_Form MGT-7A-28102022_U70200DL2012PTC242482.pdf
Parsing file_46/86: inputs\001_Form MGT-7A-28102022_U72900HR2020PTC088532.pdf
Parsing file_47/86: inputs\001_Form MGT-7A-28102022_U72901CH2016PTC041027.pdf
Parsing file_48/86: inputs\001_Form MGT-7A-28102022_U80301KA2005PTC035906.pdf
Parsing file_49/86: inputs\001_Form MGT-7A-28102022_U80902DL2005PTC135755.pdf
Parsing file_50/86: inputs\001_Form MGT-7A-28102022_signed_U22110KA2001PTC029133.pdf
Parsing file_51/86: inputs\001_Form MGT-7A-28102022_signed_U72500MH1997PTC108554.pdf
Parsing file_52/86: inputs\001_Form MGT-7A-28102022_signed_U74140TG2002PTC039850.pdf
Parsing file_53/86: inputs\001_Form MGT-7A-28102022_signed_U74999TG2007PTC053943.pdf
Parsing file_54/86: inputs\001_Form MGT-7A-28102022_signed_U74999TG2017PTC115176.pdf
Parsing file_55/86: inputs\001_Form MGT-7A-28112022_signed_U45201BR2000PTC009465.pdf
Parsing file_56/86: inputs\001_Form MGT-7A-28112022_signed_U72900KA2006PTC039216.pdf
Parsing file_57/86: inputs\001_Form MGT-7A-28112022_signed_U74210WB1980PTC032724.pdf
Parsing file_58/86: inputs\001_Form MGT-7A-29012022_signed_U18101DL2000PTC107692.pdf
Parsing file_59/86: inputs\001_Form MGT-7A-29092022_signed_U74210KL2004PTC016817.pdf
Parsing file_60/86: inputs\001_Form MGT-7A-29102022_U29219JH1974PTC001093.pdf
Parsing file_61/86: inputs\001_Form MGT-7A-29122021_signed_U72200KA2015PTC079767.pdf
Parsing file_62/86: inputs\001_Form MGT-7A-30092022_signed_U61200WB2010PTC156441.pdf
Parsing file_63/86: inputs\001_Form MGT-7A-30092022_signed_U74999PN2018OPC175180.pdf
Parsing file_64/86: inputs\001_Form MGT-7A-30102022_U74899DL1987PTC028833.pdf
Parsing file_65/86: inputs\001_Form MGT-7A-30102022_U93090KA2017PTC102238.pdf
Parsing file_66/86: inputs\001_Form MGT-7A-30112022_signed_U30000MH1996PTC103589.pdf
Parsing file_67/86: inputs\001_Form MGT-7A-31012022_signed_U18101PB1997PTC020541.pdf
Parsing file_68/86: inputs\001_Form MGT-7A-31102022_U18101RJ2003PTC018775.pdf
Parsing file_69/86: inputs\001_Form MGT-7A-31102022_U24100MH2004PTC144518.pdf
Parsing file_70/86: inputs\001_Form MGT-7A-31102022_U31109TN2010PTC075706.pdf
Parsing file_71/86: inputs\001_Form MGT-7A-31102022_U74300DL2011PTC226911.pdf
Parsing file_72/86: inputs\001_Form MGT-7A-31102022_signed_U52300TN2010PTC077172.pdf
Parsing file_73/86: inputs\001_Form MGT-7A-31102022_signed_U72900RJ2012PTC037918.pdf
Parsing file_74/86: inputs\002_Form MGT-7A-22112022_U17119GJ1997PTC032739.pdf
Parsing file_75/86: inputs\002_Form MGT-7A-23102022_signed_U22122GJ1982PTC004952.pdf
Parsing file_76/86: inputs\002_Form MGT-7A-23112022_U17119GJ1999PTC037074.pdf
Parsing file_77/86: inputs\002_Form MGT-7A-24112022_U23109GJ1994PTC021167.pdf
Parsing file_78/86: inputs\002_Form MGT-7A-25022022_signed_U17119GJ1999PTC037074.pdf
Parsing file_79/86: inputs\002_Form MGT-7A-29032022_signed_U17111GJ2004PTC044497.pdf
Parsing file_80/86: inputs\002_Form MGT-7A-29102022_U05190KA2002PTC030748.pdf
Parsing file_81/86: inputs\002_Form MGT-7A-30112022_signed_U31200HR2012PTC088472.pdf
Parsing file_82/86: inputs\002_Form MGT-7A-31102022_U17299RJ2013PTC042307.pdf
Parsing file_83/86: inputs\003_Form MGT-7A-22112022_U17120GJ2008PTC052717.pdf
Parsing file_84/86: inputs\003_Form MGT-7A-22112022_U74899DL1976PTC008242.pdf
Parsing file_85/86: inputs\006_Form MGT-7A-28102022_signed_U51503MH1995PTC088646.pdf
Parsing file_86/86: inputs\008_Form MGT-7A-23112022_U15491PN1996PTC104666.pdf
Time taken: 0:40:56.800081
